chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,4,47,57,5,60,18,8942
2,19,8947,8958,20,8961,48,19697
3,49,19702,19714,50,19717,70,28505
4,71,28510,28521,72,28524,92,39522
5,93,39527,39537,94,39540,101,45343
6,102,45348,45359,103,45362,112,52849
7,113,52854,52866,114,52869,122,60230
8,123,60235,60248,124,60251,141,67251
9,142,67256,67267,143,67270,174,77746
10,175,77751,77761,176,77764,203,89736
11,204,89741,89752,205,89755,221,98146
12,222,98151,98163,223,98166,251,107362
13,252,107367,107380,253,107383,329,118894
14,330,118899,118911,331,118914,352,127272
15,353,127277,127288,354,127291,400,141550
16,401,141555,141567,402,141570,443,152990
17,444,152995,153008,445,153011,494,162133
18,495,162138,162152,496,162155,525,170814
19,526,170819,170831,527,170834,568,186998
20,569,187003,187014,570,187017,633,199884
21,634,199889,199901,635,199904,675,216470
22,676,216475,216488,677,216491,732,231982
23,733,231984,231998,734,232001,756,245637
24,757,245642,245655,758,245658,800,257188
25,801,257193,257205,802,257208,823,268021
26,824,268026,268039,825,268042,855,282420
27,856,282425,282439,857,282442,903,296622
28,904,296627,296642,905,296645,922,304939
29,923,304944,304957,924,304960,994,326259
30,995,326264,326276,996,326279,1038,342665
31,1039,342670,342683,1040,342686,1082,363929
32,1083,363934,363948,1084,363951,1125,378528
33,1126,378533,378548,1127,378551,1179,395351
34,1180,395356,395370,1181,395373,1223,410590
35,1224,410595,410608,1225,410611,1271,423589
36,1272,423594,423608,1273,423611,1301,441017
37,1302,441019,441034,1303,441037,1361,465553
38,1362,465558,465574,1363,465577,1396,482182
39,1397,482187,482201,1398,482204,1421,493391
40,1422,493396,493407,1423,493410,1480,507662
41,1481,507667,507679,1482,507682,1519,522133
42,1520,522138,522151,1521,522154,1537,532495
43,1538,532500,532514,1539,532517,1569,552189
44,1570,552194,552207,1571,552210,1654,582247
45,1655,582252,582264,1656,582267,1682,594377
46,1683,594382,594395,1684,594398,1717,610797
47,1718,610802,610816,1719,610819,1764,624282
48,1765,624287,624302,1766,624305,1791,631598
49,1792,631603,631616,1793,631619,1839,655430
50,1840,655435,655445,1841,655448,1862,669953
