chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,7,2712,2752,8,2755,84,22376
2,85,22381,22419,86,22422,154,38230
3,155,38235,38272,156,38275,244,58985
4,245,58990,59025,246,59028,302,78712
5,303,78717,78745,304,78748,340,96243
6,341,96248,96272,342,96275,384,112578
7,385,112580,112640,386,112643,429,130308
8,430,130313,130349,431,130352,538,153885
9,539,153890,153923,540,153926,670,183008
10,671,183013,183032,672,183035,792,213198
11,793,213203,213245,794,213248,852,229946
12,853,229948,229981,854,229984,1023,259666
13,1024,259671,259713,1025,259716,1129,281494
14,1130,281499,281532,1131,281535,1220,303890
15,1221,303895,303918,1222,303921,1271,320338
