chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,5,41,50,6,53,28,15189
2,29,15193,15202,30,15205,46,26530
3,47,26534,26543,48,26546,85,42249
4,86,42253,42262,87,42265,98,52829
5,99,52833,52842,100,52845,145,71212
6,146,71216,71225,147,71228,180,92405
7,181,92409,92418,182,92421,222,110990
8,223,110994,111003,224,111006,282,129463
9,283,129467,129476,284,129479,317,145584
10,318,145586,145596,319,145599,366,167207
11,367,167211,167221,368,167224,393,184624
12,394,184628,184638,395,184641,471,215524
13,472,215528,215538,473,215541,504,230878
14,505,230882,230892,506,230895,542,244899
15,543,244903,244913,544,244916,567,260713
16,568,260717,260727,569,260730,590,274408
17,591,274412,274422,592,274425,621,294233
18,622,294235,294245,623,294248,675,316738
19,676,316742,316752,677,316755,712,330144
20,713,330148,330158,714,330161,764,349841
21,765,349845,349855,766,349858,867,388141
22,868,388145,388155,869,388158,938,421109
23,939,421113,421123,940,421126,1021,457802
24,1022,457806,457816,1023,457819,1035,466856
