TheSunAlsoRises,Q764-0
Emma,Q364-0
TheSunAlsoRises,Q1714-1
TheGambler,Q709-1
ARoomWithAView,Q224-0
NightAndDay,Q1862-0
NorthangerAbbey,Q556-0
SenseAndSensibility,Q103-0
TheSportOfTheGods,Q429-0
HandfulOfDust,Q1487-0
NightAndDay,Q1716-0
SenseAndSensibility,Q418-0
TheGambler,Q520-1
SenseAndSensibility,Q432-0
Emma,Q317-0
DaisyMiller,Q535-0
TheGambler,Q218-0
NorthangerAbbey,Q777-1
Emma,Q1119-1
TheAwakening,Q453-1
PrideAndPrejudice,Q600-0
ARoomWithAView,Q1288-0
ARoomWithAView,Q881-0
AnneOfGreenGables,Q69-0
AnneOfGreenGables,Q401-0
SignOfFour,Q103-0
AnneOfGreenGables,Q484-1
SenseAndSensibility,Q718-1
NightAndDay,Q808-0
SenseAndSensibility,Q538-0
ARoomWithAView,Q1348-0
HandfulOfDust,Q350-1
TheInvisibleMan,Q443-0
AnneOfGreenGables,Q336-0
TheManWhoWasThursday,Q285-0
TheSunAlsoRises,Q1425-1
TheInvisibleMan,Q192-0
Emma,Q1544-0
Emma,Q1587-1
TheGambler,Q372-0
TheGambler,Q75-0
SenseAndSensibility,Q1039-1
ARoomWithAView,Q269-0
ARoomWithAView,Q165-0
AnneOfGreenGables,Q523-0
TheSportOfTheGods,Q195-0
TheManWhoWasThursday,Q171-1
PrideAndPrejudice,Q243-0
HandfulOfDust,Q35-0
TheManWhoWasThursday,Q325-0
TheSportOfTheGods,Q217-0
PrideAndPrejudice,Q431-0
HandfulOfDust,Q1277-0
SenseAndSensibility,Q1026-0
TheSunAlsoRises,Q2038-1
TheManWhoWasThursday,Q702-0
HandfulOfDust,Q204-0
NightAndDay,Q883-1
TheInvisibleMan,Q585-0
TheInvisibleMan,Q367-0
ARoomWithAView,Q374-1
ARoomWithAView,Q300-1
TheSunAlsoRises,Q1170-0
NightAndDay,Q894-1
AnneOfGreenGables,Q855-0
TheManWhoWasThursday,Q538-0
PrideAndPrejudice,Q221-0
TheGambler,Q585-0
TheSunAlsoRises,Q1378-1
SenseAndSensibility,Q189-1
NightAndDay,Q1597-0
HandfulOfDust,Q274-0
ARoomWithAView,Q1017-1
TheManWhoWasThursday,Q443-1
AliceInWonderland,Q75-0
TheGambler,Q466-1
TheManWhoWasThursday,Q731-0
HandfulOfDust,Q353-0
HandfulOfDust,Q902-0
TheSunAlsoRises,Q2586-1
ARoomWithAView,Q796-0
TheSunAlsoRises,Q2029-0
NorthangerAbbey,Q688-0
HandfulOfDust,Q2173-0
TheSunAlsoRises,Q2359-1
PrideAndPrejudice,Q870-0
ARoomWithAView,Q1557-0
TheInvisibleMan,Q613-0
ARoomWithAView,Q697-0
NorthangerAbbey,Q737-0
NorthangerAbbey,Q38-0
TheInvisibleMan,Q67-0
HandfulOfDust,Q2281-0
PrideAndPrejudice,Q465-0
ARoomWithAView,Q69-1
HandfulOfDust,Q719-0
PrideAndPrejudice,Q455-0
TheInvisibleMan,Q444-0
TheInvisibleMan,Q559-0
AnneOfGreenGables,Q556-0
TheManWhoWasThursday,Q380-0
NightAndDay,Q246-0
ARoomWithAView,Q1380-0
TheSunAlsoRises,Q2433-0
NightAndDay,Q928-0
NightAndDay,Q1251-0
TheSunAlsoRises,Q2015-0
ARoomWithAView,Q989-0
TheInvisibleMan,Q883-1
SenseAndSensibility,Q351-0
AnneOfGreenGables,Q262-0
SignOfFour,Q276-0
NightAndDay,Q781-0
Emma,Q638-0
PrideAndPrejudice,Q1221-0
Emma,Q938-0
TheManWhoWasThursday,Q687-0
TheSunAlsoRises,Q2575-0
NightAndDay,Q405-1
TheGambler,Q93-0
NightAndDay,Q1876-1
TheGambler,Q196-0
PrideAndPrejudice,Q1206-0
PrideAndPrejudice,Q425-0
TheSunAlsoRises,Q2371-0
NightAndDay,Q132-0
TheAwakening,Q578-0
PrideAndPrejudice,Q648-1
Emma,Q753-0
AnneOfGreenGables,Q90-1
SenseAndSensibility,Q889-0
TheInvisibleMan,Q502-0
Emma,Q571-1
NightAndDay,Q1937-0
TheGambler,Q335-0
TheSunAlsoRises,Q323-0
TheSportOfTheGods,Q211-0
AnneOfGreenGables,Q871-0
TheAwakening,Q420-0
TheInvisibleMan,Q160-0
NightAndDay,Q447-1
ARoomWithAView,Q59-1
NightAndDay,Q716-0
Emma,Q310-0
SenseAndSensibility,Q365-0
SenseAndSensibility,Q872-0
Emma,Q1400-0
AnneOfGreenGables,Q457-0
SenseAndSensibility,Q776-1
TheSportOfTheGods,Q125-0
NightAndDay,Q935-0
SenseAndSensibility,Q997-0
Emma,Q552-0
TheSunAlsoRises,Q925-0
TheSunAlsoRises,Q2498-0
TheGambler,Q376-0
NightAndDay,Q623-2
TheAwakening,Q37-1
TheSunAlsoRises,Q1347-0
TheInvisibleMan,Q240-2
ARoomWithAView,Q1563-0
SenseAndSensibility,Q870-1
SignOfFour,Q474-2
TheManWhoWasThursday,Q764-0
SenseAndSensibility,Q535-0
AliceInWonderland,Q460-1
TheSunAlsoRises,Q1057-0
NightAndDay,Q1564-0
Emma,Q385-0
TheSportOfTheGods,Q367-0
NorthangerAbbey,Q145-0
AnneOfGreenGables,Q694-0
