,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,3,53,78,4,81,159,23031
1,2,160,23036,23073,161,23076,266,37850
2,3,267,37855,37892,268,37895,350,50053
3,4,351,50058,50089,352,50092,648,83927
4,5,649,83932,83972,650,83975,1060,129163
5,6,1061,129168,129179,1062,129181,1261,150189
6,7,1262,150194,150228,1263,150231,1406,170773
7,8,1407,170778,170808,1408,170811,1627,198958
8,9,1628,198963,198989,1629,198992,1851,221312
9,10,1852,221317,221338,1853,221341,2091,247499
10,11,2092,247504,247515,2093,247517,2349,278703
11,12,2350,278708,278734,2351,278737,2428,298431
12,13,2429,298436,298465,2430,298468,2568,321860
